Date,Open,High,Low,Close,Volume,Award Amount,Company Name,Delta % Close - Open,Delta % High - Low
2024-01-18,16.75,16.81,16.1,16.4,35239739.0,0,PALANTIR TECHNOLOGIES INC.,-2.0895522388059784,4.4099378881987406
2024-01-17,16.26,16.41,16.05,16.39,30832775.0,0,PALANTIR TECHNOLOGIES INC.,0.7995079950799446,2.2429906542056037
2024-01-16,16.59,16.74,16.29,16.53,32659260.0,0,PALANTIR TECHNOLOGIES INC.,-0.3616636528028856,2.762430939226515
2024-01-12,16.68,17.06,16.62,16.76,33952550.0,0,PALANTIR TECHNOLOGIES INC.,0.4796163069544475,2.6474127557159908
2024-01-11,16.81,16.93,16.17,16.68,39552365.0,0,PALANTIR TECHNOLOGIES INC.,-0.7733491969065973,4.700061842918973
2024-01-10,16.5,17.0299,16.4,16.79,41254398.0,0,PALANTIR TECHNOLOGIES INC.,1.7575757575757522,3.8408536585366027
2024-01-09,16.51,16.63,16.28,16.39,35794473.0,0,PALANTIR TECHNOLOGIES INC.,-0.726832222895221,2.149877149877137
2024-01-08,16.22,16.89,16.14,16.67,49089953.0,0,PALANTIR TECHNOLOGIES INC.,2.7743526510481065,4.646840148698884
2024-01-05,15.7,16.1279,15.664,15.98,57289916.0,0,PALANTIR TECHNOLOGIES INC.,1.783439490445867,2.961567926455571
2024-01-04,16.05,16.58,15.95,16.25,39937698.0,0,PALANTIR TECHNOLOGIES INC.,1.2461059190031107,3.9498432601880817
2024-01-03,16.12,16.38,16.01,16.09,46865204.0,0,PALANTIR TECHNOLOGIES INC.,-0.18610421836228994,2.3110555902560734
2024-01-02,16.95,16.95,16.5,16.58,41626684.0,0,PALANTIR TECHNOLOGIES INC.,-2.182890855457233,2.727272727272723
2023-12-29,17.52,17.64,17.1,17.17,38943466.0,0,PALANTIR TECHNOLOGIES INC.,-1.9977168949771567,3.1578947368421
2023-12-28,17.46,17.84,17.42,17.56,38989961.0,0,PALANTIR TECHNOLOGIES INC.,0.5727376861397357,2.4110218140068778
2023-12-27,17.78,17.91,17.45,17.47,29531342.0,0,PALANTIR TECHNOLOGIES INC.,-1.743532058492701,2.636103151862469
2023-12-26,17.44,17.745,17.3299,17.68,31750737.0,0,PALANTIR TECHNOLOGIES INC.,1.3761467889908165,2.3952821424243793
2023-12-22,17.7,17.7,17.325,17.41,33693787.0,0,PALANTIR TECHNOLOGIES INC.,-1.6384180790960403,2.164502164502165
2023-12-21,17.53,17.74,17.42,17.59,30493554.0,0,PALANTIR TECHNOLOGIES INC.,0.34227039361094536,1.8369690011480866
2023-12-20,17.87,17.92,17.19,17.25,58666901.0,0,PALANTIR TECHNOLOGIES INC.,-3.4695019585898206,4.246655031995348
2023-12-19,17.98,18.19,17.84,17.95,43088737.0,0,PALANTIR TECHNOLOGIES INC.,-0.16685205784205304,1.9618834080717569
2023-12-18,18.21,18.575,17.77,17.84,60188148.0,0,PALANTIR TECHNOLOGIES INC.,-2.0318506315211473,4.530106921778277
